,Player,Position,Team,Salary,ESPN_FantasyPoints,FantasyData_FantasyPoints,FantasyFootball_FantasyPoints,AvgPointsPerGame,Avg,Max,Min
0,Le'Veon Bell,RB,PIT,9100,22,,18.0,21.767,19.883499999999998,21.767,18.0
1,Ezekiel Elliott,RB,DAL,9000,21.3,,18.5,18.74,18.619999999999997,18.74,18.5
2,Antonio Brown,WR,PIT,8900,18.2,,16.5,23.667,20.0835,23.667,16.5
3,Leonard Fournette,RB,JAX,8600,18.4,15.26,,23.2,19.23,23.2,15.26
4,Julio Jones,WR,ATL,8500,18.3,,15.0,12.94,13.969999999999999,15.0,12.94
5,A.J. Green,WR,CIN,8300,17.1,13.59,15.0,21.08,16.55666666666667,21.08,13.59
6,Todd Gurley II,RB,LA,8200,18.6,16.31,18.0,24.767,19.692333333333334,24.767,16.31
7,Tom Brady,QB,NE,8000,20.4,,27.5,23.743,25.621499999999997,27.5,23.743
8,Dez Bryant,WR,DAL,7800,14.7,12.92,13.5,13.08,13.166666666666666,13.5,12.92
9,Mike Evans,WR,TB,7600,15.2,12.69,14.5,16.42,14.536666666666667,16.42,12.69
10,Drew Brees,QB,NO,7600,16.9,18.61,23.0,18.848,20.152666666666665,23.0,18.61
11,Michael Thomas,WR,NO,7500,15.7,13.31,15.0,14.42,14.243333333333334,15.0,13.31
12,Matt Ryan,QB,ATL,7500,19.1,18.49,21.8,15.376,18.555333333333333,21.8,15.376
13,LeSean McCoy,RB,BUF,7400,20.8,17.03,19.5,15.36,17.296666666666667,19.5,15.36
14,Brandin Cooks,WR,NE,7400,13,12.1,13.0,14.867,13.322333333333333,14.867,12.1
15,Larry Fitzgerald,WR,ARI,7300,14.1,12.37,13.0,18.583,14.650999999999998,18.583,12.37
16,Dak Prescott,QB,DAL,7300,17.8,,23.5,22.456,22.978,23.5,22.456
17,Rob Gronkowski,TE,NE,7300,15.4,,13.0,18.62,15.81,18.62,13.0
18,Devonta Freeman,RB,ATL,7300,15.2,13.86,15.5,17.48,15.613333333333335,17.48,13.86
19,C.J. Anderson,RB,DEN,7200,13.2,11.47,15.0,13.28,13.25,15.0,11.47
20,Cam Newton,QB,CAR,7000,15.2,17.96,23.8,21.19,20.983333333333334,23.8,17.96
21,Chris Hogan,WR,NE,7000,13.8,11.58,5.0,14.4,10.326666666666666,14.4,5.0
22,Kelvin Benjamin,WR,CAR,6900,10.8,9.5,13.0,12.017,11.505666666666665,13.0,9.5
23,Marcus Mariota,QB,TEN,6900,16.6,18.19,21.3,17.704,19.064666666666668,21.3,17.704
24,Zach Ertz,TE,PHI,6900,16.1,,13.0,16.25,14.625,16.25,13.0
25,Aaron Rodgers,QB,GB,6800,0,,,20.117,20.117,20.117,20.117
26,Jordy Nelson,WR,GB,6800,14.7,11.67,7.0,15.0,11.223333333333334,15.0,7.0
27,Jarvis Landry,WR,MIA,6800,13.8,11.07,14.0,15.3,13.456666666666669,15.3,11.07
28,Mark Ingram,RB,NO,6700,17.6,14.97,16.0,15.7,15.556666666666667,16.0,14.97
29,Adam Thielen,WR,MIN,6700,14.1,10.95,7.5,14.833,11.094333333333333,14.833,7.5
30,Carson Wentz,QB,PHI,6700,17.4,17.79,23.3,22.443,21.177666666666667,23.3,17.79
31,Carson Palmer,QB,ARI,6600,15.8,16.26,22.3,19.08,19.213333333333335,22.3,16.26
32,Doug Baldwin,WR,SEA,6600,14.2,11.55,14.0,13.22,12.923333333333334,14.0,11.55
33,David Johnson,RB,ARI,6500,0,,,14.1,14.1,14.1,14.1
34,DeVante Parker,WR,MIA,6500,0,8.4,,12.15,10.275,12.15,8.4
35,Kirk Cousins,QB,WAS,6500,,17.35,24.0,21.532,20.96066666666667,24.0,17.35
36,Jordan Howard,RB,CHI,6400,13.3,12.22,16.5,15.867,14.862333333333334,16.5,12.22
37,Russell Wilson,QB,SEA,6400,17,16.67,22.8,20.656,20.041999999999998,22.8,16.67
38,Jerick McKinnon,RB,MIN,6300,13.2,11.87,15.5,11.017,12.795666666666667,15.5,11.017
39,Keenan Allen,WR,LAC,6300,12.8,10.1,5.0,14.933,10.011000000000001,14.933,5.0
40,DeMarco Murray,RB,TEN,6200,9.1,8.45,6.0,11.317,8.589,11.317,6.0
41,Jay Ajayi,RB,MIA,6200,15.2,13.53,15.5,10.68,13.236666666666666,15.5,10.68
42,Ben Roethlisberger,QB,PIT,6200,14.4,15.44,21.0,13.707,16.715666666666667,21.0,13.707
43,Alshon Jeffery,WR,PHI,6200,13.5,10.23,14.0,11.617,11.949,14.0,10.23
44,Christian McCaffrey,RB,CAR,6100,14.1,10.96,6.5,15.117,10.859,15.117,6.5
45,T.Y. Hilton,WR,IND,6100,11.9,11.15,6.5,14.083,10.577666666666666,14.083,6.5
46,Jameis Winston,QB,TB,6000,15.3,15.21,22.8,17.472,18.494000000000003,22.8,15.21
47,Devin Funchess,WR,CAR,6000,10.5,9.72,12.0,12.583,11.434333333333333,12.583,9.72
48,Doug Martin,RB,TB,5900,11.5,10.99,7.0,15.3,11.09666666666667,15.3,7.0
49,Sam Bradford,QB,MIN,5900,0,,,14.99,14.99,14.99,14.99
50,Carlos Hyde,RB,SF,5900,13.8,12.61,14.5,16.7,14.603333333333333,16.7,12.61
51,Emmanuel Sanders,WR,DEN,5900,0,,,12.72,12.72,12.72,12.72
52,Delanie Walker,TE,TEN,5800,11.2,8.94,4.0,9.483,7.474333333333334,9.483,4.0
53,Davante Adams,WR,GB,5800,11.2,9.83,4.0,15.317,9.715666666666666,15.317,4.0
54,Adrian Peterson,RB,ARI,5800,11.4,10.58,7.0,7.78,8.453333333333333,10.58,7.0
55,Jared Goff,QB,LA,5800,14.2,15.36,16.5,15.627,15.829,16.5,15.36
56,Pierre Garcon,WR,SF,5800,13,11.23,14.0,13.233,12.821,14.0,11.23
57,Demaryius Thomas,WR,DEN,5800,13.6,12.33,14.0,13.6,13.31,14.0,12.33
58,DeSean Jackson,WR,TB,5700,11.5,9.49,5.0,12.14,8.876666666666667,12.14,5.0
59,Andy Dalton,QB,CIN,5700,14,13.68,17.8,15.08,15.520000000000001,17.8,13.68
60,Darren McFadden,RB,DAL,5700,0,,,0.0,0.0,0.0,0.0
61,Chris Thompson,RB,WAS,5700,,8.84,12.0,19.7,13.513333333333334,19.7,8.84
62,Derek Anderson,QB,CAR,5600,0.1,0.2,,0.68,0.44000000000000006,0.68,0.2
63,Alvin Kamara,RB,NO,5600,14.6,12.16,14.0,13.54,13.233333333333334,14.0,12.16
64,Danny Amendola,WR,NE,5600,10.8,8.86,6.0,13.14,9.333333333333334,13.14,6.0
65,Rishard Matthews,WR,TEN,5500,12.7,10.1,12.5,10.833,11.144333333333334,12.5,10.1
66,Derrick Henry,RB,TEN,5500,10.7,9.77,14.5,8.533,10.934333333333333,14.5,8.533
67,Ty Montgomery,RB,GB,5500,11.7,10.31,4.5,13.64,9.483333333333334,13.64,4.5
68,Andrew Luck,QB,IND,5500,0,,,0.0,0.0,0.0,0.0
69,Jimmy Garoppolo,QB,NE,5500,0.1,0.22,,0.0,0.11,0.22,0.0
70,Alfred Morris,RB,DAL,5400,2.7,,,2.175,2.175,2.175,2.175
71,Trevor Siemian,QB,DEN,5400,14.2,13.6,17.8,18.012,16.470666666666666,18.012,13.6
72,Randall Cobb,WR,GB,5300,10.4,9.02,13.0,11.52,11.18,13.0,9.02
73,Javorius Allen,RB,BAL,5300,11.4,9.48,14.0,12.417,11.965666666666666,14.0,9.48
74,Philip Rivers,QB,LAC,5300,15,14.76,17.5,17.57,16.61,17.57,14.76
75,Terrelle Pryor Sr.,WR,WAS,5300,,9.16,5.0,8.58,7.580000000000001,9.16,5.0
76,Aaron Jones,RB,GB,5200,9,8.0,11.5,7.9,9.133333333333333,11.5,7.9
77,Josh McCown,QB,NYJ,5200,13.1,14.03,22.5,14.927,17.152333333333335,22.5,14.03
78,Sterling Shepard,WR,NYG,5200,12.4,7.57,4.5,11.72,7.93,11.72,4.5
79,Tyrod Taylor,QB,BUF,5100,17.4,16.02,18.8,14.1,16.30666666666667,18.8,14.1
80,Brett Hundley,QB,GB,5100,14.4,14.08,18.0,3.79,11.956666666666665,18.0,3.79
81,Bilal Powell,RB,NYJ,5100,10.2,8.58,,11.84,10.21,11.84,8.58
82,Ryan Fitzpatrick,QB,TB,5000,0.1,1.16,,11.2,6.18,11.2,1.16
83,Matt Cassel,QB,TEN,5000,0.1,,,3.24,3.24,3.24,3.24
84,Kevin Hogan,QB,CLE,5000,0,0.86,,9.695,5.2775,9.695,0.86
85,Jacoby Brissett,QB,IND,5000,12.4,11.88,17.5,14.527,14.635666666666667,17.5,11.88
86,Austin Seferian-Jenkins,TE,NYJ,5000,10,8.21,11.0,12.3,10.503333333333334,12.3,8.21
87,Case Keenum,QB,MIN,5000,13.4,12.75,17.3,14.572,14.874,17.3,12.75
88,Joe Mixon,RB,CIN,5000,10.9,10.13,8.0,8.7,8.943333333333333,10.13,8.0
89,Cole Beasley,WR,DAL,5000,8.8,,4.0,7.58,5.79,7.58,4.0
90,James White,RB,NE,5000,9.3,8.86,11.0,11.35,10.403333333333334,11.35,8.86
91,Duke Johnson Jr.,RB,CLE,4900,11.2,8.45,5.5,13.767,9.238999999999999,13.767,5.5
92,DeShone Kizer,QB,CLE,4900,15.4,13.47,18.0,11.928,14.466,18.0,11.928
93,John Brown,WR,ARI,4900,10.8,8.64,12.0,10.45,10.363333333333333,12.0,8.64
94,C.J. Beathard,QB,SF,4900,12.2,13.33,18.0,7.1,12.81,18.0,7.1
95,Jimmy Graham,TE,SEA,4900,10.7,9.3,10.0,8.98,9.426666666666668,10.0,8.98
96,Taylor Gabriel,WR,ATL,4900,9.8,7.9,,7.5,7.7,7.9,7.5
97,Nelson Agholor,WR,PHI,4900,8.9,8.27,,12.683,10.4765,12.683,8.27
98,Corey Coleman,WR,CLE,4800,0,,,9.1,9.1,9.1,9.1
99,Chris Ivory,RB,JAX,4800,8.6,7.03,16.5,8.75,10.76,16.5,7.03
100,Brian Hoyer,QB,SF,4800,0.1,0.33,,12.25,6.29,12.25,0.33
101,Eli Manning,QB,NYG,4800,14.1,12.83,14.8,16.623,14.751,16.623,12.83
102,Mohamed Sanu,WR,ATL,4800,11.7,8.35,4.5,9.675,7.508333333333333,9.675,4.5
103,Tevin Coleman,RB,ATL,4800,11.8,9.88,6.5,12.64,9.673333333333334,12.64,6.5
104,Jordan Reed,TE,WAS,4800,,9.4,4.0,8.05,7.150000000000001,9.4,4.0
105,Cameron Brate,TE,TB,4700,9.6,7.7,11.0,14.62,11.106666666666667,14.62,7.7
106,Tarik Cohen,RB,CHI,4700,9.6,7.2,6.5,12.29,8.663333333333332,12.29,6.5
107,Blake Bortles,QB,JAX,4700,15.1,14.6,17.5,13.553,15.217666666666668,17.5,13.553
108,Jay Cutler,QB,MIA,4700,13.4,13.59,15.5,10.456,13.182,15.5,10.456
109,Jermaine Kearse,WR,NYJ,4700,9.7,7.54,5.5,12.317,8.452333333333334,12.317,5.5
110,Joe Flacco,QB,BAL,4700,11.4,10.9,14.3,8.302999999999999,11.167666666666667,14.3,8.302999999999999
111,AJ McCarron,QB,CIN,4700,0.1,0.23,,0.0,0.115,0.23,0.0
112,Dion Lewis,RB,NE,4700,5.4,6.27,5.0,6.382999999999999,5.884333333333333,6.382999999999999,5.0
113,Colt McCoy,QB,WAS,4700,,0.21,,0.0,0.105,0.21,0.0
114,Wendell Smallwood,RB,PHI,4700,10.3,8.06,,7.475,7.7675,8.06,7.475
115,Greg Olsen,TE,CAR,4600,0,,,2.9,2.9,2.9,2.9
116,Mitchell Trubisky,QB,CHI,4600,12.4,11.08,15.5,7.347,11.309,15.5,7.347
117,Chase Daniel,QB,NO,4600,0.1,,,0.0,0.0,0.0,0.0
118,Cooper Kupp,WR,LA,4600,10.4,8.36,6.5,9.583,8.147666666666666,9.583,6.5
119,Corey Davis,WR,TEN,4500,0,,,7.15,7.15,7.15,7.15
120,Joe Callahan,QB,GB,4500,0.1,,,0.0,0.0,0.0,0.0
121,Matt Moore,QB,MIA,4500,0.1,0.29,,0.0,0.145,0.29,0.0
122,Matt Forte,RB,NYJ,4500,6.8,6.47,6.5,9.575,7.515,9.575,6.47
123,Landry Jones,QB,PIT,4500,0.1,0.24,,0.0,0.12,0.24,0.0
124,James Conner,RB,PIT,4500,2.2,,,1.15,1.15,1.15,1.15
125,Jason Witten,TE,DAL,4500,9.2,7.59,11.5,12.18,10.423333333333334,12.18,7.59
126,Cooper Rush,QB,DAL,4500,,,,0.0,0.0,0.0,0.0
127,Cardale Jones,QB,LAC,4500,0,,,0.0,0.0,0.0,0.0
128,Geno Smith,QB,NYG,4500,0.1,0.25,,0.0,0.125,0.25,0.0
129,Mike Gillislee,RB,NE,4500,8.6,7.65,4.0,8.667,6.772333333333333,8.667,4.0
130,LeGarrette Blount,RB,PHI,4500,8.7,7.66,13.0,10.183,10.281,13.0,7.66
131,Mike Glennon,QB,CHI,4400,0.1,0.25,,11.18,5.715,11.18,0.25
132,Jaron Brown,WR,ARI,4400,8.9,,4.0,9.067,6.5335,9.067,4.0
133,Sammy Watkins,WR,LA,4400,9.3,,,8.7,8.7,8.7,8.7
134,Kenny Stills,WR,MIA,4400,8.9,,6.0,8.46,7.23,8.46,6.0
135,Matt Breida,RB,SF,4400,7.6,6.03,4.5,5.083,5.2043333333333335,6.03,4.5
136,Evan Engram,TE,NYG,4400,11.1,9.19,12.5,10.7,10.796666666666667,12.5,9.19
137,Nick Foles,QB,PHI,4400,0.1,0.26,,0.0,0.13,0.26,0.0
138,Eric Decker,WR,TEN,4300,9.4,9.15,5.0,7.6,7.25,9.15,5.0
139,Chad Henne,QB,JAX,4300,0.1,,,-0.3,-0.3,-0.3,-0.3
140,Scott Tolzien,QB,IND,4300,0.1,,,3.32,3.32,3.32,3.32
141,Marqise Lee,WR,JAX,4300,11,8.03,12.5,8.467,9.665666666666667,12.5,8.03
142,T.J. Yeldon,RB,JAX,4300,0,,4.0,0.0,2.0,4.0,0.0
143,Blaine Gabbert,QB,ARI,4300,0,,,0.0,0.0,0.0,0.0
144,Andre Ellington,RB,ARI,4300,10,7.52,,9.767,8.6435,9.767,7.52
145,Martavis Bryant,WR,PIT,4300,10,8.08,,8.017000000000001,8.0485,8.08,8.017000000000001
146,Austin Davis,QB,SEA,4300,0.1,0.22,,0.0,0.11,0.22,0.0
147,Matt Schaub,QB,ATL,4300,0.1,,,0.0,0.0,0.0,0.0
148,Samaje Perine,RB,WAS,4300,,,,5.92,5.92,5.92,5.92
149,Adam Humphries,WR,TB,4200,7.6,7.27,,9.76,8.515,9.76,7.27
150,Ricardo Louis,WR,CLE,4200,9.5,7.86,,6.817,7.3385,7.86,6.817
151,Jamaal Williams,RB,GB,4200,0.3,,,1.0,1.0,1.0,1.0
152,Sean Mannion,QB,LA,4200,0.1,0.2,,-0.22,-0.009999999999999995,0.2,-0.22
153,Robby Anderson,WR,NYJ,4200,9.3,8.01,13.0,8.933,9.981,13.0,8.01
154,Elijah McGuire,RB,NYJ,4200,5.2,,,5.882999999999999,5.882999999999999,5.882999999999999,5.882999999999999
155,Jeremy Maclin,WR,BAL,4200,10.5,,5.0,8.78,6.89,8.78,5.0
156,Hunter Henry,TE,LAC,4200,9,7.55,12.5,8.633,9.561,12.5,7.55
157,Paul Richardson,WR,SEA,4200,8.4,,,9.36,9.36,9.36,9.36
158,Jamison Crowder,WR,WAS,4200,,7.69,,5.64,6.665,7.69,5.64
159,Rob Kelley,RB,WAS,4200,,7.52,4.5,4.367,5.4623333333333335,7.52,4.367
160,Ted Ginn Jr.,WR,NO,4100,7.9,8.89,4.5,10.28,7.890000000000001,10.28,4.5
161,Frank Gore,RB,IND,4100,11.9,10.59,14.0,10.133,11.574333333333334,14.0,10.133
162,Allen Hurns,WR,JAX,4100,10.1,8.55,4.5,9.567,7.539000000000001,9.567,4.5
163,Marlon Mack,RB,IND,4100,8.3,6.52,5.5,7.85,6.623333333333332,7.85,5.5
164,Jeremy Kerley,WR,NYJ,4100,6.6,,,8.86,8.86,8.86,8.86
165,Mike Wallace,WR,BAL,4100,8.9,,,8.05,8.05,8.05,8.05
166,Jamaal Charles,RB,DEN,4100,6,,4.5,6.14,5.32,6.14,4.5
167,Brock Osweiler,QB,DEN,4100,0,0.4,,0.62,0.51,0.62,0.4
168,Tyler Lockett,WR,SEA,4100,8.6,7.32,5.0,7.72,6.68,7.72,5.0
169,Thomas Rawls,RB,SEA,4100,6.5,,4.5,1.967,3.2335000000000003,4.5,1.967
170,C.J. Prosise,RB,SEA,4100,6.3,5.76,,5.567,5.6635,5.76,5.567
171,Austin Hooper,TE,ATL,4100,9.1,7.33,3.5,10.04,6.956666666666666,10.04,3.5
172,Joe Webb,QB,BUF,4000,0,,,0.0,0.0,0.0,0.0
173,Charles Clay,TE,BUF,4000,0,,,12.16,12.16,12.16,12.16
174,Jacquizz Rodgers,RB,TB,4000,2.2,,,6.24,6.24,6.24,6.24
175,Ryan Griffin,QB,TB,4000,0,,,0.0,0.0,0.0,0.0
176,Nathan Peterman,QB,BUF,4000,0.1,,,0.0,0.0,0.0,0.0
177,Mark Sanchez,QB,CHI,4000,0,,,0.0,0.0,0.0,0.0
178,Garrett Gilbert,QB,CAR,4000,,,,0.0,0.0,0.0,0.0
179,Brad Kaaya,QB,CAR,4000,,,,0.0,0.0,0.0,0.0
180,Kenny Britt,WR,CLE,4000,6.6,,,6.525,6.525,6.525,6.525
181,Brandon Weeden,QB,TEN,4000,0,,,0.0,0.0,0.0,0.0
182,Josh Gordon,WR,CLE,4000,0,,,0.0,0.0,0.0,0.0
183,Cody Kessler,QB,CLE,4000,0.1,,,0.0,0.0,0.0,0.0
184,Isaiah Crowell,RB,CLE,4000,10.6,9.52,12.0,7.233,9.584333333333333,12.0,7.233
185,Taysom Hill,QB,NO,4000,,,,0.0,0.0,0.0,0.0
186,Willie Snead,WR,NO,4000,9.7,7.58,,2.1,4.84,7.58,2.1
187,Drew Stanton,QB,ARI,4000,0.1,0.24,,0.0,0.12,0.24,0.0
188,Robert Woods,WR,LA,4000,9.5,8.54,11.5,9.5,9.846666666666666,11.5,8.54
189,J.J. Nelson,WR,ARI,4000,6.5,,,10.283,10.283,10.283,10.283
190,Brandon Allen,QB,LA,4000,0,,,0.0,0.0,0.0,0.0
191,Bryce Petty,QB,NYJ,4000,0.1,0.28,,0.0,0.14,0.28,0.0
192,Kenyan Drake,RB,MIA,4000,2.3,,,0.8,0.8,0.8,0.8
193,Christian Hackenberg,QB,NYJ,4000,0,,,0.0,0.0,0.0,0.0
194,Ryan Mallett,QB,BAL,4000,0.1,0.2,,5.44,2.8200000000000003,5.44,0.2
195,Latavius Murray,RB,MIN,4000,10.5,7.33,4.5,2.9330000000000003,4.921,7.33,2.9330000000000003
196,Teddy Bridgewater,QB,MIN,4000,0,,,0.0,0.0,0.0,0.0
197,Kyle Sloter,QB,MIN,4000,,,,0.0,0.0,0.0,0.0
198,Alex Collins,RB,BAL,4000,8.4,7.05,4.5,6.3,5.95,7.05,4.5
199,Jeff Driskel,QB,CIN,4000,0,,,0.0,0.0,0.0,0.0
200,Joshua Dobbs,QB,PIT,4000,0,,,0.0,0.0,0.0,0.0
201,Kellen Moore,QB,DAL,4000,0.1,,,0.0,0.0,0.0,0.0
202,Kellen Clemens,QB,LAC,4000,0.1,,,0.0,0.0,0.0,0.0
203,Branden Oliver,RB,LAC,4000,3.9,,,3.2,3.2,3.2,3.2
204,Tyrell Williams,WR,LAC,4000,9.1,,5.5,9.45,7.475,9.45,5.5
205,Chad Kelly,QB,DEN,4000,0,,,0.0,0.0,0.0,0.0
206,Paxton Lynch,QB,DEN,4000,0.1,,,0.0,0.0,0.0,0.0
207,Seahawks ,DST,SEA,4000,,,,10.0,10.0,10.0,10.0
208,Davis Webb,QB,NYG,4000,0,,,0.0,0.0,0.0,0.0
209,Malcolm Brown,RB,LA,3900,2.8,,,3.44,3.44,3.44,3.44
210,Terrance West,RB,BAL,3900,0,,,5.82,5.82,5.82,5.82
211,Terrance Williams,WR,DAL,3900,8,,,7.4,7.4,7.4,7.4
212,Marquise Goodwin,WR,SF,3900,8.8,,,7.75,7.75,7.75,7.75
213,Eddie Lacy,RB,SEA,3900,5.8,,4.5,3.1,3.8,4.5,3.1
214,Wayne Gallman,RB,NYG,3900,6.7,5.71,4.5,10.467,6.892333333333333,10.467,4.5
215,Corey Clement,RB,PHI,3900,2.9,,,2.717,2.717,2.717,2.717
216,Mike Tolbert,RB,BUF,3800,6.4,,5.0,5.54,5.27,5.54,5.0
217,Jonathan Stewart,RB,CAR,3800,11.5,9.42,5.5,6.683,7.2010000000000005,9.42,5.5
218,Russell Shepard,WR,CAR,3800,3.8,,,3.983,3.983,3.983,3.983
219,Corey Grant,RB,JAX,3800,1.5,,,2.167,2.167,2.167,2.167
220,Kyle Rudolph,TE,MIN,3800,9.8,8.08,11.0,8.85,9.31,11.0,8.08
221,Giovani Bernard,RB,CIN,3800,7.9,5.9,5.0,9.5,6.8,9.5,5.0
222,JuJu Smith-Schuster,WR,PIT,3800,8,,10.5,7.7,9.1,10.5,7.7
223,Roger Lewis,WR,NYG,3800,9.5,,,4.45,4.45,4.45,4.45
224,Rex Burkhead,RB,NE,3800,4.2,,,8.35,8.35,8.35,8.35
225,Josh Doctson,WR,WAS,3800,,,4.0,5.0,4.5,5.0,4.0
226,Jordan Matthews,WR,BUF,3700,9.7,7.72,,8.05,7.885,8.05,7.72
227,Kendall Wright,WR,CHI,3700,8.3,,,8.267000000000001,8.267000000000001,8.267000000000001,8.267000000000001
228,Curtis Samuel,WR,CAR,3700,2.5,,,1.82,1.82,1.82,1.82
229,Jaguars ,DST,JAX,3700,,,,14.5,14.5,14.5,14.5
230,Robert Turbin,RB,IND,3700,0,,,4.317,4.317,4.317,4.317
231,Damien Williams,RB,MIA,3700,3.7,,,2.26,2.26,2.26,2.26
232,Danny Woodhead,RB,BAL,3700,0,,,6.7,6.7,6.7,6.7
233,Aldrick Robinson,WR,SF,3700,3.9,,,5.05,5.05,5.05,5.05
234,Brice Butler,WR,DAL,3700,3.4,,,8.14,8.14,8.14,8.14
235,Orleans Darkwa,RB,NYG,3700,9.1,7.85,6.5,8.16,7.503333333333333,8.16,6.5
236,Justin Hardy,WR,ATL,3700,2.5,,,3.7,3.7,3.7,3.7
237,Phillip Dorsett,WR,NE,3700,1.3,,,2.2,2.2,2.2,2.2
238,Vernon Davis,TE,WAS,3700,,4.14,4.0,7.7,5.28,7.7,4.0
239,Zay Jones,WR,BUF,3600,6.5,,,2.32,2.32,2.32,2.32
240,Panthers ,DST,CAR,3600,,,,6.5,6.5,6.5,6.5
241,George Kittle,TE,SF,3600,8,6.58,5.0,8.033,6.5376666666666665,8.033,5.0
242,De'Angelo Henderson,RB,DEN,3600,0,,,0.033,0.033,0.033,0.033
243,Shane Vereen,RB,NYG,3600,6.9,,,6.55,6.55,6.55,6.55
244,Malcolm Mitchell,WR,NE,3600,0,,,0.0,0.0,0.0,0.0
245,Torrey Smith,WR,PHI,3600,8,,,6.783,6.783,6.783,6.783
246,Kenjon Barner,RB,PHI,3600,0.1,,,1.633,1.633,1.633,1.633
247,Brandon Tate,WR,BUF,3500,0.6,,,3.5,3.5,3.5,3.5
248,Charles Sims,RB,TB,3500,5.6,,,4.84,4.84,4.84,4.84
249,Ed Dickson,TE,CAR,3500,7.5,6.16,4.0,8.117,6.092333333333333,8.117,4.0
250,Geronimo Allison,WR,GB,3500,1.1,,,5.66,5.66,5.66,5.66
251,Cowboys ,DST,DAL,3500,,,,4.6,4.6,4.6,4.6
252,Broncos ,DST,DEN,3500,,,,7.4,7.4,7.4,7.4
253,Devontae Booker,RB,DEN,3500,4.1,,,6.7,6.7,6.7,6.7
254,Austin Ekeler,RB,LAC,3500,1.3,,,4.4830000000000005,4.4830000000000005,4.4830000000000005,4.4830000000000005
255,Andre Roberts,WR,ATL,3500,0.3,,,0.44,0.44,0.44,0.44
256,Marvin Hall,WR,ATL,3500,,,,11.0,11.0,11.0,11.0
257,Ryan Grant,WR,WAS,3500,,,,8.16,8.16,8.16,8.16
258,Bills ,DST,BUF,3400,,,,9.8,9.8,9.8,9.8
259,Andre Holmes,WR,BUF,3400,4.4,,,4.3,4.3,4.3,4.3
