,Player,Position,Team,Opponent,ESPN_FantasyPoints,PlayerID
672,Travaris Cadet,RB,NYJ,Mia,0,00-0029205
673,Brandon Bolden,RB,NE,Atl,0,00-0029239
674,Deonte Thompson,WR,BUF,TB,0,
675,LaRon Byrd,WR,CAR,Chi,0,
676,Brittan Golden,WR,ARI,LAR,0,00-0029336
677,Damaris Johnson,WR,TEN,Cle,0,
678,Jonathan Grimes,RB,JAX,Ind,0,
679,Chase Ford,TE,BAL,Min,0,
680,Cooper Helfet,TE,OAK,KC,0,
681,Brandon Bostick,TE,NYJ,Mia,0,
682,Alex Tanney,QB,TEN,Cle,0,00-0029623
683,Josh Gordon,WR,CLE,Ten,0,00-0029664
684,Larry Donnell,TE,BAL,Min,0,
685,Fozzy Whittaker,RB,CAR,Chi,0,00-0029731
686,Brandon Bogotay,K,TB,Buf,0,
687,Tyler Eifert,TE,CIN,Pit,0,00-0030549
688,DeAndre Hopkins,WR,HOU,** BYE **,--,00-0030564
689,Stedman Bailey,WR,LA,Ari,0,
690,Montee Ball,RB,FA,** BYE **,--,
691,Knile Davis,RB,PIT,Cin,0,
692,Aaron Dobson,WR,ARI,LAR,0,
693,Gavin Escobar,TE,KC,Oak,0,
694,Christine Michael,RB,IND,Jax,0,00-0030432
695,Markus Wheaton,WR,CHI,Car,0,00-0030460
696,Charles D. Johnson,WR,CAR,Chi,0,
697,Ryan Griffin,TE,HOU,** BYE **,--,00-0030108
698,Ryan Nassib,QB,JAX,Ind,0,
699,Sean Renfree,QB,ATL,NE,0,
700,B.J. Daniels,WR,ATL,NE,0,
701,Michael Williams,TE,NE,Atl,0,
702,Caleb Sturgis,K,PHI,Wsh,0,00-0030390
703,Mychal Rivera,TE,JAX,Ind,0,00-0030514
704,Zac Dysert,QB,ARI,LAR,0,00-0030394
705,Chris Gragg,TE,NYJ,Mia,0,00-0030049
706,Matt Barkley,QB,SF,Dal,0,
707,Denard Robinson,RB,JAX,Ind,0,
708,Dustin Hopkins,K,WSH,Phi,0,00-0030098
709,Mike James,RB,DET,** BYE **,--,00-0030391
710,Stepfan Taylor,RB,ARI,LAR,0,
711,Cobi Hamilton,WR,PIT,Cin,0,
712,Justice Cunningham,TE,LA,Ari,0,
713,Theo Riddick,RB,DET,** BYE **,--,00-0030107
714,Zac Stacy,RB,NYJ,Mia,0,
715,Josh Boyce,WR,CLE,Ten,0,
716,Chris Harper,WR,NYG,Sea,0,
717,Joseph Randle,RB,FA,** BYE **,--,
718,Corey Fuller,WR,NO,GB,0,00-0030095
719,Spencer Ware,RB,KC,Oak,0,00-0030414
720,Marquess Wilson,WR,NYJ,Mia,0,
721,Quinton Patton,WR,NYJ,Mia,0,
722,Kendall Gaskins,RB,SF,Dal,0,
723,Steven Miller,RB,DET,** BYE **,--,
724,Ryan Griffin,QB,TB,Buf,0,00-0029857
725,Da'Rick Rogers,WR,KC,Oak,0,
726,Chris Pantale,TE,MIA,NYJ,0,
727,Ryan Spadola,WR,DET,** BYE **,--,
728,Tyler Bray,QB,KC,Oak,0,00-0030151
729,Timothy Wright,TE,DET,** BYE **,--,
730,Zach Line,RB,NO,GB,0,00-0029931
731,Rodney Smith,WR,SEA,NYG,0,
732,Kenbrell Thompkins,WR,NYJ,Mia,0,
733,Zach Sudfeld,TE,NYJ,Mia,0,
734,George Winn,RB,IND,Jax,0,00-0030247
735,Jake Stoneburner,TE,LA,Ari,0,
736,Khiry Robinson,RB,NYJ,Mia,0,
737,Myles White,WR,NYJ,Mia,0,
738,Marlon Brown,WR,DEN,LAC,0,
739,Matt McGloin,QB,PHI,Wsh,0,
740,Teddy Bridgewater,QB,MIN,Bal,0,00-0031237
741,Eric Ebron,TE,DET,** BYE **,--,00-0031387
742,Odell Beckham Jr.,WR,NYG,Sea,0,00-0031235
743,Johnny Manziel,QB,CLE,Ten,0,
744,Dri Archer,RB,BUF,TB,0,
745,C.J. Fiedorowicz,TE,HOU,** BYE **,--,00-0031302
746,Crockett Gillmore,TE,BAL,Min,0,00-0030992
747,Josh Huff,WR,TB,Buf,0,
748,Terrance West,RB,BAL,Min,0,00-0031375
749,Tre Mason,RB,LA,Ari,0,
750,Jace Amaro,TE,TEN,Cle,0,
751,Cody Latimer,WR,DEN,LAC,0,00-0031344
752,Bishop Sankey,RB,MIN,Bal,0,00-0031413
753,Allen Robinson,WR,JAX,Ind,0,00-0031428
754,Shaq Evans,WR,DAL,SF,0,
755,Tajh Boyd,QB,PIT,Cin,0,
756,Zach Mettenberger,QB,PIT,Cin,0,
757,David Fales,QB,MIA,NYJ,0,
758,Jeremy Gallon,WR,NE,Atl,0,
759,Jared Abbrederis,WR,DET,** BYE **,--,00-0031021
760,Tyler Gaffney,RB,JAX,Ind,0,00-0031190
761,Kevin Norwood,WR,NYG,Sea,0,00-0031327
762,Storm Johnson,RB,MIA,NYJ,0,
763,Lache Seastrunk,RB,NYJ,Mia,0,
764,Andre Williams,RB,LAC,Den,0,00-0031055
765,Keith Wenning,QB,BUF,TB,0,
766,Zach Hocker,K,TB,Buf,0,
767,Jalen Saunders,WR,NE,Atl,0,
768,Ka'Deem Carey,RB,CHI,Car,0,
769,Tom Savage,QB,HOU,** BYE **,--,00-0031064
770,Bruce Ellington,WR,HOU,** BYE **,--,00-0031326
771,Lorenzo Taliaferro,RB,BAL,Min,0,
772,Marion Grice,RB,ARI,LAR,0,
773,Aaron Murray,QB,KC,Oak,0,
774,Alfred Blue,RB,HOU,** BYE **,--,00-0031075
775,Devin Street,WR,HOU,** BYE **,--,
776,Corey Washington,WR,DAL,SF,0,
777,Juwan Thompson,RB,DEN,LAC,0,
778,Kapri Bibbs,RB,SF,Dal,0,
779,Robert Herron,WR,OAK,KC,0,
780,Antonio Andrews,RB,TEN,Cle,0,
781,Darrin Reaves,RB,KC,Oak,0,
782,Brenton Bersin,WR,CAR,Chi,0,
783,Travis Coons,K,LA,Ari,0,
784,Silas Redd,RB,WSH,Phi,0,
785,Corey Brown,WR,BUF,TB,0,
786,Ryan Hewitt,RB,CIN,Pit,0,00-0030780
787,Cairo Santos,K,KC,Oak,0,
788,Kasey Redfern,K,DET,** BYE **,--,00-0031420
789,Frankie Hammond,WR,NYJ,Mia,0,
790,Trey Watts,RB,LA,Ari,0,
791,Austin Johnson,RB,TB,Buf,0,
792,Darren Fells,TE,DET,** BYE **,--,00-0029738
793,Brian Leonhardt,TE,MIN,Bal,0,
794,Jay Prosch,RB,HOU,** BYE **,--,00-0031085
795,TJ Jones,WR,DET,** BYE **,--,00-0031189
796,James Wright,WR,CLE,Ten,0,
797,Isaiah Burse,WR,LAC,Den,0,00-0030671
798,Jeremy Butler,WR,BUF,TB,0,00-0030691
799,Damian Copeland,WR,DET,** BYE **,--,
800,Jonathan Krause,WR,TEN,Cle,0,
801,Matt Blanchard,QB,CHI,Car,0,
802,Dustin Vaughan,QB,BAL,Min,0,
803,Senorise Perry,RB,MIA,NYJ,0,00-0031209
804,Glenn Winston,RB,CLE,Ten,0,
805,Jordan Gay,K,TEN,Cle,0,
806,Kyle Nelson,TE,SF,Dal,0,00-0028374
807,Walter Powell,WR,BUF,TB,0,
808,Fitzgerald Toussaint,RB,PIT,Cin,0,
809,Marcel Jensen,TE,WSH,Phi,0,
810,Asante Cleveland,TE,LAC,Den,0,00-0030832
811,Rashad Ross,WR,BUF,TB,0,
812,Nic Jacobs,TE,JAX,Ind,0,
813,Freddie Martino,WR,TB,Buf,0,
814,Blake Annen,TE,BUF,TB,0,
815,RaShaun Allen,TE,HOU,** BYE **,--,
816,Charcandrick West,RB,KC,Oak,0,00-0030668
817,Justin Perillo,TE,CHI,Car,0,
818,Connor Shaw,QB,CHI,Car,0,
819,Roosevelt Nix,RB,PIT,Cin,0,
820,Kevin Smith,WR,SEA,NYG,0,
821,Andre Debose,WR,IND,Jax,0,
822,Jason Myers,K,JAX,Ind,0,00-0031492
823,David Johnson,RB,ARI,LAR,0,00-0032187
824,MyCole Pruitt,TE,CHI,Car,0,
825,DiAndre Campbell,WR,SF,Dal,0,
826,Gerald Christian,TE,ARI,LAR,0,
827,Issac Blakeney,WR,PIT,Cin,0,
828,Geremy Davis,WR,LAC,Den,0,
829,Da'Ron Brown,WR,LAC,Den,0,
830,Neal Sterling,TE,NYJ,Mia,0,
831,Marcus Murphy,RB,NYJ,Mia,0,
832,Kenny Bell,WR,BAL,Min,0,
833,Dres Anderson,WR,HOU,** BYE **,--,
834,Jeremy Langford,RB,BAL,Min,0,
835,Keith Mumphery,WR,HOU,** BYE **,--,
836,DeAndrew White,WR,HOU,** BYE **,--,
837,Malcolm Johnson,RB,SEA,NYG,0,
838,Dylan Thompson,QB,LA,Ari,0,
839,Joey Iosefa,RB,NE,Atl,0,
840,Dezmin Lewis,WR,BUF,TB,0,
841,Sammie Coates,WR,CLE,Ten,0,00-0032166
842,Garrett Grayson,QB,NO,GB,0,
843,David Cobb,RB,CHI,Car,0,
844,Ameer Abdullah,RB,DET,** BYE **,--,00-0032104
845,Devin Smith,WR,NYJ,Mia,0,00-0031934
846,Evan Spencer,WR,TB,Buf,0,
847,DeVante Parker,WR,MIA,NYJ,0,00-0031547
848,Rashad Greene Sr.,WR,JAX,Ind,0,00-0032170
849,Karlos Williams,RB,PIT,Cin,0,
850,Darren Waller,TE,BAL,Min,0,00-0031610
851,Kenny Hilliard,RB,WSH,Phi,0,
852,Josh Robinson,RB,IND,Jax,0,
853,Rory Anderson,TE,BUF,TB,0,
854,Chris Conley,WR,KC,Oak,0,00-0032128
855,Kennard Backman,TE,DET,** BYE **,--,
856,Tyler Varga,RB,IND,Jax,0,
857,Maxx Williams,TE,BAL,Min,0,00-0031558
858,Dorial Green-Beckham,WR,PHI,Wsh,0,
859,Breshad Perriman,WR,BAL,Min,0,00-0032054
860,T.J. Yeldon,RB,JAX,Ind,0,00-0032209
861,Mike Davis,RB,SEA,NYG,0,
862,Kevin White,WR,CHI,Car,0,00-0031545
863,Jaelen Strong,WR,JAX,Ind,0,00-0031560
864,Mario Alford,WR,CLE,Ten,0,
865,DeAndre Smelter,WR,SF,Dal,0,
866,Duron Carter,WR,IND,Jax,0,
867,Antwan Goodley,WR,GB,NO,0,
868,Michael Dyer,RB,OAK,KC,0,
869,John Crockett,RB,OAK,KC,0,
870,Terrence Magee,RB,CLE,Ten,0,
871,Seantavius Jones,WR,KC,Oak,0,
872,Gus Johnson,RB,LAC,Den,0,
873,Zach Zenner,RB,DET,** BYE **,--,00-0031665
874,Kyle Brindza,K,NYJ,Mia,0,
875,Terron Ward,RB,ATL,NE,0,00-0031682
876,Jarryd Hayne,RB,SF,Dal,0,
877,Andrew Franks,K,MIA,NYJ,0,
878,Brandon Wegher,RB,LA,Ari,0,
879,Alonzo Harris,RB,GB,NO,0,
880,Cameron Meredith,WR,CHI,Car,0,00-0031912
881,E.J. Bibbs,TE,WSH,Phi,0,
882,Lucky Whitehead,WR,NYJ,Mia,0,
883,Nikita Whitlock,RB,NYG,Sea,0,
884,Quincy Enunwa,WR,NYJ,Mia,0,00-0031023
885,Jerome Cunningham,TE,TEN,Cle,0,
886,Matt Hazel,WR,IND,Jax,0,
887,Chris Harper,WR,NYJ,Mia,0,
888,Tyler Murphy,WR,MIA,NYJ,0,
889,Bradley Marquez,WR,LA,Ari,0,00-0031818
890,Wes Saxton,TE,BUF,TB,0,
891,Will Tye,TE,NYJ,Mia,0,
892,Donteea Dye,WR,TB,Buf,0,
893,Trey Williams,RB,PIT,Cin,0,
894,Javontee Herndon,WR,DAL,SF,0,
895,Daniel Brown,TE,CHI,Car,0,00-0032098
896,Eric Rogers,WR,SF,Dal,0,
897,Corey Coleman,WR,CLE,Ten,0,00-0032966
898,Christian Hackenberg,QB,NYJ,Mia,0,00-0032953
899,Tyler Boyd,WR,CIN,Pit,0,00-0033009
900,Roberto Aguayo,K,CHI,Car,0,
901,Braxton Miller,WR,HOU,** BYE **,--,00-0033069
902,Connor Cook,QB,OAK,KC,0,00-0032893
903,Malcolm Mitchell,WR,NE,Atl,0,00-0032400
904,Tyler Ervin,RB,HOU,** BYE **,--,00-0032404
905,Kenneth Dixon,RB,BAL,Min,0,00-0032411
906,Cardale Jones,QB,LAC,Den,0,00-0033098
907,Tajae Sharpe,WR,TEN,Cle,0,00-0032778
908,Paul Perkins,RB,NYG,Sea,0,00-0032417
909,Jordan Payton,WR,CLE,Ten,0,
910,Jonathan Williams,RB,BUF,TB,0,
911,Kevin Hogan,QB,CLE,Ten,0,00-0032784
912,Temarrick Hemingway,TE,LA,Ari,0,00-0033112
913,Moritz Bohringer,WR,MIN,Bal,0,
914,Keenan Reynolds,WR,BAL,Min,0,
915,Nate Sudfeld,QB,WSH,Phi,0,
916,Jake Rudock,QB,DET,** BYE **,--,00-0032431
917,Kolby Listenbee,WR,BUF,TB,0,
918,Dan Vitale,RB,CLE,Ten,0,00-0032794
919,Cody Core,WR,CIN,Pit,0,00-0032795
920,Brandon Allen,QB,LA,Ari,0,00-0032434
921,Michael Thomas,WR,LA,Ari,0,00-0032765
922,Jeff Driskel,QB,CIN,Pit,0,00-0032436
923,Kelvin Taylor,RB,ATL,NE,0,
924,Aaron Burbridge,WR,SF,Dal,0,00-0032441
925,Darius Jackson,RB,CLE,Ten,0,00-0033049
926,Rico Gathers,TE,DAL,SF,0,00-0033054
927,Brandon Doughty,QB,MIA,NYJ,0,
928,Devin Lucien,WR,NE,Atl,0,
929,Demarcus Ayers,WR,PIT,Cin,0,
930,Daniel Braverman,WR,CHI,Car,0,
931,Thomas Duarte,TE,MIA,NYJ,0,
932,Dwayne Washington,RB,DET,** BYE **,--,00-0032450
933,Daniel Lasco,RB,NO,GB,0,
934,Devin Lewis Fuller,WR,ATL,NE,0,
935,Charone Peake,WR,NYJ,Mia,0,00-0032959
936,Keith Marshall,RB,WSH,Phi,0,00-0032806
937,Kenny Lawler,WR,SEA,NYG,0,
938,Zac Brooks,RB,SEA,NYG,0,
939,Beau Sandland,TE,GB,NO,0,
940,Josh Ferguson,RB,IND,Jax,0,
941,Trevone Boykin,QB,SEA,NYG,0,
942,Ben Braunecker,TE,CHI,Car,0,
943,Cole Wick,TE,DET,** BYE **,--,
944,Stephen Anderson,TE,HOU,** BYE **,--,00-0032725
945,Taylor Heinicke,QB,MIN,Bal,0,
946,Erik Swoope,TE,IND,Jax,0,00-0030854
947,Brandon Wilds,RB,CLE,Ten,0,
948,Jhurell Pressley,RB,ATL,NE,0,
949,Anthony Denham,TE,PHI,Wsh,0,
950,Byron Marshall,RB,PHI,Wsh,0,
951,Max McCaffrey,WR,JAX,Ind,0,00-0032937
952,Reggie Bell,WR,NO,GB,0,
953,Jake Kumerow,WR,CIN,Pit,0,
954,George Atkinson III,RB,OAK,KC,0,
955,James Wilder Jr.,RB,BUF,TB,0,
956,D.J. Foster,RB,ARI,LAR,0,00-0032577
957,Bryce Williams,TE,CAR,Chi,0,
958,Marquez North,WR,LA,Ari,0,
959,Andy Jones,WR,HOU,** BYE **,--,
960,Xavier Rush,WR,NO,GB,0,
961,Dom Williams,WR,PHI,Wsh,0,00-0032915
962,Damiere Byrd,WR,CAR,Chi,0,00-0031868
963,R.J. Harris,WR,NO,GB,0,
964,Paul McRoberts,WR,LA,Ari,0,
965,Wendall Williams,WR,HOU,** BYE **,--,
966,Anthony Dable,WR,ATL,NE,0,
967,Darius Jennings,WR,TEN,Cle,0,00-0031972
968,Devon Cajuste,WR,SF,Dal,0,
969,Mitch Mathews,WR,MIA,NYJ,0,
970,Stephen Morris,QB,IND,Jax,0,
971,Dreamius Smith,RB,LAC,Den,0,
972,Devon Johnson,RB,CAR,Chi,0,
973,Keyarris Garrett,WR,CAR,Chi,0,
974,Jalin Marshall,WR,NYJ,Mia,0,
975,Alan Cross,TE,TB,Buf,0,
976,Braedon Bowman,TE,NO,GB,0,
977,Brian Parker,TE,NYJ,Mia,0,
978,Troymaine Pope,RB,IND,Jax,0,
979,Glenn Gronkowski,RB,NE,Atl,0,
980,Johnny Holton,WR,OAK,KC,0,00-0032935
981,Julian Howsare,RB,NYJ,Mia,0,
982,Kenneth Farrow,RB,LAC,Den,0,00-0032902
983,Nelson Spruce,WR,LA,Ari,0,
984,Joshua Perkins,TE,ATL,NE,0,
985,Paul Lasike,RB,CHI,Car,0,
986,Scott Simonson,TE,CAR,Chi,0,00-0031167
987,Tommylee Lewis,WR,NO,GB,0,00-0032881
988,Xavier Grimble,TE,PIT,Cin,0,00-0031035
989,Peyton Barber,RB,TB,Buf,0,00-0032741
990,Don Jackson,RB,GB,NO,0,
991,Paul Turner,WR,PHI,Wsh,0,
992,George Farmer,RB,SEA,NYG,0,
993,Mack Brown,RB,WSH,Phi,0,00-0032048
994,D.J. Tialavea,TE,ATL,NE,0,
995,Matt Lengel,TE,NE,Atl,0,
996,Alex Ellis,TE,JAX,Ind,0,
997,Chad Williams,WR,ARI,LAR,0,00-0033933
998,Donnel Pumphrey,RB,PHI,Wsh,0,
999,De'Angelo Henderson,RB,DEN,LAC,0,00-0033581
1000,Elijah Hood,RB,OAK,KC,0,
1001,D'Onta Foreman,RB,HOU,** BYE **,--,00-0033925
1002,Brad Kaaya,QB,DET,** BYE **,--,00-0033585
1003,Chad Kelly,QB,DEN,LAC,0,
1004,Marquez Williams,RB,JAX,Ind,0,
1005,Josh Reynolds,WR,LA,Ari,0,00-0033943
1006,Josh Malone,WR,CIN,Pit,0,00-0033859
1007,Malachi Dupre,WR,GB,NO,0,
1008,Rodney Adams,WR,MIN,Bal,0,00-0033957
1009,Michael Roberts,TE,DET,** BYE **,--,00-0033559
1010,Joshua Dobbs,QB,PIT,Cin,0,00-0033949
1011,Jordan Leggett,TE,NYJ,Mia,0,00-0033953
1012,Jake Butt,TE,DEN,LAC,0,
1013,Deshaun Watson,QB,HOU,** BYE **,--,00-0033537
1014,Mason Schreck,TE,CIN,Pit,0,00-0033798
1015,Jeremy Sprinkle,TE,WSH,Phi,0,00-0033528
1016,Dalvin Cook,RB,MIN,Bal,0,00-0033893
1017,David Moore,WR,SEA,NYG,0,
1018,T.J. Logan,RB,ARI,LAR,0,00-0033789
1019,Carlos Henderson,WR,DEN,LAC,0,00-0033919
1020,Robert Davis,WR,WSH,Phi,0,
1021,Shelton Gibson,WR,PHI,Wsh,0,00-0033573
1022,Dede Westbrook,WR,JAX,Ind,0,00-0033839
1023,Isaiah McKenzie,WR,DEN,LAC,0,00-0033466
1024,Corey Davis,WR,TEN,Cle,0,00-0033871
1025,Bucky Hodges,TE,MIN,Bal,0,
1026,Sam Rogers,RB,LA,Ari,0,
1027,Isaiah Ford,WR,MIA,NYJ,0,00-0033471
1028,Devante Mays,RB,GB,NO,0,00-0033304
1029,Chris Carson,RB,SEA,NYG,0,00-0033594
1030,Kenny Golladay,WR,DET,** BYE **,--,00-0033932
1031,Eric Saubert,TE,ATL,NE,0,00-0033576
1032,Joe Williams,RB,SF,Dal,0,00-0033286
1033,Khalfani Muhammad,RB,TEN,Cle,0,
1034,Jeremy McNichols,RB,TB,Buf,0,
1035,DeAngelo Yancey,WR,GB,NO,0,
1036,Davis Webb,QB,NYG,Sea,0,00-0033550
1037,Brian Hill,RB,ATL,NE,0,
1038,Freddie Stevenson,RB,CHI,Car,0,
1039,Jace Billingsley,WR,DET,** BYE **,--,
